"PROVITAMIN D POTENCIES, ABSORPTION SPECTRA, AND CHEMICAL STUDIES OF HEAT-TREATED CHOLESTEROL","['HATHAWAY, MILICENT LOUISE']",1,1932,"['Physical chemistry', 'Chemistry']","['Chemistry', 'Physical chemistry']",['Pure sciences'],,DIVISION OF BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY
STUDIES ON THE EFFECT OF HIGH DOSES OF IRRADIATED AND NON-IRRADIATED ERGOSTEROL ON THE ALBINO RAT,"['HAUCH, JOHN THEOBALD']",37,1932,['Pharmacology'],['Pharmacology'],['Health and environmental sciences'],,DIVISION OF BIOLOGICAL SCIENCES,PHYSIOLOGICAL CHEMISTRY AND PHARMACOLOGY
THE RAMAN-EFFECT AND THE CARBON-CHLORINE BOND,"['HAUN, ROBERT RAY']",0,1932,['Optics'],['Optics'],['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,CHEMISTRY
A GROUP TEST FOR THE MEASUREMENT OF CRUELTY-COMPASSION: A PROPOSED MEANS OF RECOGNIZING POTENTIAL CRIMINALITY,"['HAWTHORNE, JOSEPH WYMAN']",0,1932,['Clinical psychology'],"['Psychotherapy', 'Clinical psychology']",['Psychology'],,,
SUFFICIENT CONDITIONS FOR THE GENERAL PROBLEM OF MAYER WITH VARIABLE END POINTS,"['HESTENES, MAGNUS RUDOLPH']",21,1932,['Mathematics'],['Mathematics'],['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,MATHEMATICS
THE CRYSTAL STRUCTURE OF ARSENIC-TRIIODIDE,"['HEYWORTH, DOROTHY']",0,1932,['Chemistry'],['Chemistry'],['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,PHYSICS
THE PSYCHOLOGY OF RELIGIOUS CERTAINTY,"['HIRNING, JACOB LOUIS']",100,1932,['Philosophy'],"['Religion', 'Philosophy']","['Philosophy, religion and theology']",,THE GRADUATE DIVINITY SCHOOL,CHRISTIAN THEOLOGY AND ETHICS
THE DEVELOPMENT MORPHOLOGY OF ALLIUM CEPA L.,"['HOFFMAN, CHARLES ANDREW']",1,1932,['Botany'],['Botany'],['Biological sciences'],,,
THE DIFFERENTIATION OF LIVER AND PANCREATIC PRIMORDIA AND TISSUES OF THE CHICK EMBRYO IN CHORIO-ALLANTOIC GRAFTS,"['HOLTON, RUTH GLADYS']",1,1932,['Immunology'],['Immunology'],['Health and environmental sciences'],,DIVISION OF BIOLOGICAL SCIENCES,ZOOLOGY
STUDIES IN CHOLESTEROL METABOLISM: THE EXPERIMENTAL PRODUCTION OF GALLSTONES IN HYPERCHOLESTEROLEMIC RABBITS; THE BLOOD IN ANESTHESIA,"['HOSPERS, CORNELIUS A.']",1,1932,['Physiology'],['Physiology'],['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,PATHOLOGY
THE NUMBERS OF SOLUTIONS OF CONGRUENCES INVOLVING ONLY KTH POWERS,"['HULL, RALPH']",0,1932,['Mathematics'],['Mathematics'],['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,MATHEMATICS
ASYMPTOTIC GENERALIZATIONS OF WARING'S THEOREM,"['HUSTON, RALPH ERNEST']",1,1932,['Mathematics'],['Mathematics'],['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,MATHEMATICS
