Year,Division,Department,Name,Post,Diss_Title,,,,,,,,,,,
1904,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,OSWIN W. WILLCOX,"Chief Chemist and Superintendent, Aetna Explosives Co., Mount Union, Pa.",On the Reactions of Ethyl Chlorsulphonate.,,,,,,,,,,,
1905,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WILLIAM LLOYD EVANS,"Professor and Head of the Department of Chemistry, Ohio State University, Columbus, Ohio.",On the Behavior of Benzyol Carbinol toward Alkalies and Oxidizing Agents.,,,,,,,,,,,
1905,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WILLIAM MCCRACKEN,"Professor of Chemistry, State Normal School, Kalamazoo, Mich.",Studies in Catalysis. V. The Catalysis of Imidoesters.,,,,,,,,,,,
1905,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HERMANN IRVING SCHLESINGER,"Professor of Chemistry and Secretary of the Department, University of Chicago, Chicago, Ill.",Studies in Catalysis. VI. The Catalysis of Imidoesters.,,,,,,,,,,,
1906,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ROY HUTCHISON BROWNLEE,"President, Brownlee Laboratory, Pittsburgh, Pa.",On Precipitated Sulphur.,,,,,,,,,,,
1906,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,CHARLES M. CARSON,"Professor and Head of the Department of Chemistry, Houghton School of Mines, Houghton, Mich.",On Amorphous Sulphur: Further Study of the Two Forms of Liquid Sulphur as Dynamic Isomers.,,,,,,,,,,,
1906,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HENRY MAX GOETTSCH,"Professor of Inorganic Chemistry, College of Engineering and Commerce, University of Cincinnati, Cincinnati, Ohio.",The Absorption Coefficients of Uranium Compounds.,,,,,,,,,,,
1906,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WILLIS STOSE HILPERT,"Vice-President, The Miner Laboratories, Chicago",Stereoisomeric Chlorimido Acid Esters. Ill.,,,,,,,,,,,
1906,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,JAMES WRIGHT LAWRIE,"Director of Chemical Research, A. O. Smith Corporation, Milwaukee, Wis.",The Chemistry of the Acetylidene Compounds.,,,,,,,,,,,
1906,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ANDREW FRIDLEY MCLEOD,"Professor of Analytical Chemistry, Crane College, Chicago, Ill.","On Aldol, Pentaerythrose, and the Action of Copper Acetate on the Hexoses.",,,,,,,,,,,
1907,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,EDITH ETHEL BARNARD.,"(Died March 8, 1914.)",The Catalysis of Imidoesters as Affected by the Presence of Non-Electrolytes and Electrolytes.,,,,,,,,,,,
1907,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,KATHARINE BLUNT,"President, Connecticut College for Women, New London, Conn.",The Formation of Amidines.,,,,,,,,,,,
1907,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WILLEY DENIS.,"(Died January 9, 1929.)","On the Behavior of Various Aldehydes, Ketones, and Alcohols toward Oxidizing Agents.",,,,,,,,,,,
1907,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ROBERT ANDERSON HALL,"Research Chemist, Colgate and Company, New York, N.Y.",The Action of Ammonia on Isourea Esters.,,,,,,,,,,,
1907,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,LOUIS ALLEN HIGLEY,"Professor of Chemistry, and Dean of Men, Wheaton College, Wheaton, Ill.",On the Behavior of Sodium and Sodium Alcoholates toward Various Esters.,,,,,,,,,,,
1907,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WILLIAM HORACE Ross,"Research Chemist, Bureau of Soils, Department of Agriculture, Washington, D.C.",On the Relation between the Radioactivity and the Composition of Thorium and Uranium Minerals.,,,,,,,,,,,
1907,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,LOUIS AGASSIZ TEST,"Professor of General Chemistry, Purdue University, Lafayette, Ind.",The Rearrangement of o-Amino-Phenyl Esters.,,,,,,,,,,,
1908,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,GEORGE CROMWELL ASHMAN,"Professor of Chemistry, Bradley Institute, Peoria, Ill.",Studies in Radioactivity.,,,,,,,,,,,
1909,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ERNEST ANDERSON,"Professor and Head of the Department of Chemistry, University of Arizona, Tucson, Ariz.",The Action of Fehling's Solution on d-Galactose.,,,,,,,,,,,
1909,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WILLIAM WELDON HICKMAN,"Professor and Head of the Department of Chemistry, Assuit College, Assuit, Egypt.",The Catalysis of Imidoesters.,,,,,,,,,,,
1909,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WINFORD LEE LEWIS,"Director of Scientific Research, Institute of American Meat Packers, University of Chicago, Chicago, Ill.",On the Action of Fehling's Solution on Malt Sugar.,,,,,,,,,,,
1909,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,PETER POWELL PETERSON.,"(Died July 16, 1924.)",Stereoisomerism of Chlorimido-Ketones.,,,,,,,,,,,
1909,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,LEMUEL CHARLES RAIFORD,"Professor of Organic Chemistry, University of Iowa, Iowa City, Iowa.",Chlorimido Quinones.,,,,,,,,,,,
1909,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HERMAN AUGUSTUS SPOEHR,"Director of Natural Science, Rockefeller Foundation, New York, N.Y.",The Behavior of the Ordinary Hexoses toward Hydrogen Peroxide in the Presence of Alkaline Hydroxides as Well as of Various Iron Salts.,,,,,,,,,,,
1910,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,EMMA PERRY CARR,"Professor and Head of the Department of Chemistry, Mount Holyoke College, South Hadley, Mass.",The Aliphatic Imidoesters.,,,,,,,,,,,
1910,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ELBERT EDWIN CHANDLER,"Professor and Head of the Department of Chemistry, Occidental College, Los Angeles, Calif.",Ionization Constants of the Second Hydrogen Ion of Dibasic Acids.,,,,,,,,,,,
1910,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,IRA HARRIS DERBY,"Director of Research, Riley Laboratories, Indianapolis, Ind.","Studies in Catalysis of Imidoesters, IV.",,,,,,,,,,,
1910,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,STEWART JOSEPH LLOYD,"Professor and Head of the Department of Chemistry and Metallurgy, Dean of the School of Chemistry, University of Alabama, University, Ala.",Studies in Radioactivity.,,,,,,,,,,,
1910,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ALAN WILFRID CRANBROOK MENZIES,"Professor of Chemistry, Princeton University, Princeton, N.J.",Studies in Vapor-Pressure.,,,,,,,,,,,
1910,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,JOHN COLIN MOORE,"Instructor in Chemistry, Crane Junior College, Chicago, Ill.",The Action of Water on Acyl Isoureas.,,,,,,,,,,,
1910,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WILLIAM CABLER MOORE,"Research Chemist, U.S. Industrial Alcohol Company, Baltimore, Md.",Studies in Organic Amalgams.,,,,,,,,,,,
1910,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,FRED WILBERT UPSON,"Professor and Chairman of the Department of Chemistry and Dean of the Graduate College, University of Nebraska, Lincoln, Neb.",On the Action of Normal Barium Hydroxide on d. Glucose and d. Galactose.,,,,,,,,,,,
1911,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,THOMAS BRUCE FREAS.,"(Died March 15, 1928.)",A Study of Thermostats.,,,,,,,,,,,
1911,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,JOHN FOOTE NORTON,"Director of Laboratories, Department of Health, Detroit, Mich.",Simultaneous Reactions in Amidine Formation.,,,,,,,,,,,
1911,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HARLAN LEO TRUMBULL,"Manager, Research Chemical Laboratories, Goodrich Company, Akron, Ohio.",The Molecular Rearrangement of Acid Chloramides and the Ionization of Their Salts.,,,,,,,,,,,
1911,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,LEROY SAMUEL WEATHERBY,"Professor of Chemistry, University of Southern California, Los Angeles, Calif.",The Salt-Effects of the Nitrates and Sulphonates in the Catalysis of Imidoesters.,,,,,,,,,,,
1911,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,FRANKLIN LORENZO WEST,"Dean of the Faculty, Professor of Physics and Physical Chemistry, Agricultural College of Utah, Logan, Utah.",The Physical and Chemical Properties of Organic Amalgams.,,,,,,,,,,,
1912,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,PAUL DAVID POTTER,"Chief Chemist, Sprague, Warner & Company, Chicago, Ill.",The Hydrates of Arsenic Pentoxide.,,,,,,,,,,,
1912,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,CHARLES HERMAN VIOL,"(Died April 6, 1928.)",The Chemical Properties and Relative Activities of the Radio-Products of Thorium.,,,,,,,,,,,
1913,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,"GEORGE OLIVER CURME, JR.","Vice-President and Director of Research, Carbide and Carbon Chemicals Corporation, 30 East Forty-second Street, New York, N.Y.",The Thermal Decomposition of the Symmetrical Diaryl-Hydrazines.,,,,,,,,,,,
1913,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,JOHN WILLIAM EDWARD GLATTFELD,"Associate Professor of Chemistry, University of Chicago, Chicago, Ill.",The Oxidation of d-Glucose in Alkaline Solution by Air as Well as by Hydrogen Peroxide.,,,,,,,,,,,
1913,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,PAUL NICHOLAS LEECH,"Director of the Chemical Laboratory, American Medical Association, Chicago, Ill.",The Molecular Rearrangement of Triaryl Methyl Hydroxylamines; a New Interpretation for the Rearrangement of Ketoximes.,,,,,,,,,,,
1913,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ETHEL MARY TERRY,"(Mrs. H. N. McCoy), 1226 Westchester Place, Los Angeles, Calif.",The Velocity Coefficient of Saponification of Ethyl Acetate.,,,,,,,,,,,
1914,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HAROLD STANARD ADAMS,"Director of Research, Upjohn Company, Kalamazoo, Mich.",Studies in Overvoltage.,,,,,,,,,,,
1914,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ARTHUR WESLEY MARTIN,"College of Puget Sound, Tacoma, Wash.",Studies on Solutions in Anhydrous Formic Acid.,,,,,,,,,,,
1914,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,AGNES FAY MORGAN,"Professor and Chairman of the Department of Household Science, University of California, Berkeley, Calif.",I. Viscosities of Various Methyl and Ethyl Imidobenzoates and of the Sodium Salts of Para and Meta Nitrobenzoyl-chloroamides in Moderately Concentrated Aqueous Solutions. II. The Molecular Rearrangement of Some Triaryl Methylchloroamines.,,,,,,,,,,,
1914,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HARRY MORRILL PAINE,"Realtor, care of Shaffer and Haines, Pasadena, Calif.",The Effects of Salts on the Solubility of Other Salts: 1. The Solubility Relations of a Very Soluble Bi-univalent Salt. 2. The Ionization of Bi-bivalent Salts.,,,,,,,,,,,
1914,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HARLEY MARTIN PLUM,"Research Chemist, Aluminum Company of America, New Kensington, Pa.",The Extraction and Separation of the Radioactive Constituents of Carnotite.,,,,,,,,,,,
1914,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,BERT ALLEN STAGNER,"Consulting and Research Chemist, 1121 South Hill Street, Los Angeles, Calif.",On the Molecular Rearrangements of Triarylmethyl Hydroxlamines.,,,,,,,,,,,
1914,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,CLARE CHRISMAN TODD,"Professor and Head of the Department of Chemistry, Dean of the Colleges of Sciences and Arts, State College of Washington, Pullman, Wash.",The Action of Alkaline Hydrogen Peroxide on d. Galactose.,,,,,,,,,,,
1915,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,CLIFFORD DANIEL CARPENTER,"Associate Professor of Chemistry, Columbia University, New York, N.Y.",The Addition Compounds of Organic Substances with Sulphuric Acid.,,,,,,,,,,,
1915,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,OSCAR FRED HEDENBURG,"Industrial Fellow, Mellon Institute of Industrial Research, Pittsburgh, Pa.","On the Esters, as well as the Monomolecular 8and y-Lactones of d-Mannonic and d-Gluconic Acids; On Ortho Bis-d-Galactonic Acid, d-Galactonic y-Lactone and Its Mono-Hydrate.",,,,,,,,,,,
1915,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,EDMUND CHARLES HUMPHREY,"Chemist, E. I. du Pont de Nemours & Co., Wilmington, Del.",Surface Tension at the Interface between Two Liquids.,,,,,,,,,,,
1915,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,TOWNES RANDOLPH LEIGH,"Professor and Head of the Department of Chemistry, and Dean of the College of Pharmacy, University of Florida, Gainesville, Fla.",On Chlorimido Esters and Chlorimido Benzil.,,,,,,,,,,,
1915,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,EDWIN DANIEL LEMAN.,"(Died June 7, 1925.)",The Relation between the Alpha-Ray Activities and Ranges of Radioactive Substances.,,,,,,,,,,,
1915,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HELEN TREDWAY,"(Mrs. Evarts A. Graham), 4711 Westminster Place, St. Louis, Mo.",The Thermal Decomposition of Diaryl Hydrazines.,,,,,,,,,,,
1915,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ERNEST DANA WILSON,"Division Manager, American Cyanamid Sales Company, New York, N.Y.",The Structure of Complex Atoms.,,,,,,,,,,,
1916,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,GROVES HOWARD CARTLEDGE,"Associate Professor of Chemistry, Johns Hopkins University, Baltimore, Md.",A Study of the Emanation Method of Determining Thorium.,,,,,,,,,,,
1916,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,CLYDE COLEMAN,"Research Chemist, United States Rubber Co., New York City.",Further Studies on the Behavior of the Alkali Metal Formates in (Anhydrous) Formic Acid.,,,,,,,,,,,
1916,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,RALPH EDWIN HALL,"Director of the Hall Laboratories, Pittsburgh, Pa.",The Periodic System and the Properties of the Elements. The Free Energy of Dilution. The Freezing-Point Lowerings of Some Salts of Various Types of Ionization and of Salt Mixtures.,,,,,,,,,,,
1916,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,LAWRENCE MELVIN HENDERSON,"Research Chemist, Atlantic Refining Company, Philadelphia, Pa.",The Ratio of Mesothorium to Thorium in Minerals.,,,,,,,,,,,
1916,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WILLIAM TUDOR PEARCE,"Chief Chemist, Research Division, Valentine and Co., 386 Fourth St., New York City.","Ionization and Solubility Relations of Salts of Higher Types, Intermediate Ions in Solutions of Unibivalent Salts and of Lanthanum Iodate, a Triunivalent Salt. II. Solubilities of Very Soluble Higher Type Salts.",,,,,,,,,,,
1916,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WILLARD ALLEN ROBERTS,"Research Chemist, General Electric Company, Harrison, N.J.",Studies on the Cobalt-Ammines.,,,,,,,,,,,
1916,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,STANLEY DAVIS WILSON,"Professor and Head of the Department of Chemistry and Dean of the College of Natural Science, Yenching University, Peking, China.",The Effect of Added Salts upon the Velocity of Saponification of Ethyl Acetate by Sodium Hydroxide.,,,,,,,,,,,
1917,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,LESTER ARONBERG,"Research Chemist, Hoover and Mason Phosphate Company, Mount Pleasant, Tenn.",The Spectrum of the Isotopes of the Lead. The Structure of the Bismuth Line x=4722A.,,,,,,,,,,,
1917,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,RALPH LYMAN BROWN,"Research Chemist, Atmospheric Nitrogen Corporation of the Allied Chemical Company, Syracuse, N.Y.",The Molecular Rearrangement of Sym. Di-triphenylmethylhydrazine.,,,,,,,,,,,
1917,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,SIDNEY MARSH CADWELL,"Director of Development Division, United States Rubber Company, 6600 East Jefferson Avenue, Detroit, Mich.",The Effect of Acid on the Speed of Rearrangement of the Benzene Sulphonyl Esters of Benzophenone-Oxime; Determinations of Minute Quantities of Gold.,,,,,,,,,,,
1917,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,EARL CLAUDIUS HAMILTON DAVIES,"Associate Professor of Chemistry, University of West Virginia, Morgantown, W.Va.","The Orientation of Molecules in the Surface of Liquids, the Energy Relations at Surfaces, Solubility, Adsorption, Emulsification, Molecular Association, and the Effects of Acids and Bases on Interfacial Tension.",,,,,,,,,,,
1917,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ADELINE MAE DE SALE,(Mrs. George K. K. Link),"Assistant Professor of Chemistry, University of Chicago, Chicago, Ill.",,,,,,,,,,,
1917,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,MILTON THEODORE HANKE,"Associate Professor of Pathology, Sprague Memorial Institute, University of Chicago, Chicago, Ill.",The Oxidation of Maltose in Alkaline Solutions by Hydrogen Peroxide and by Air. The Preparation and Study of Maltobionic Acid.,,,,,,,,,,,
1917,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,FRANK HYNES REED,"Superintendent, Dyestuffs Department, Tower Manufac turing Company, Newark, N.J.","Studies in Conductivity. (A) Some Common Errors in the Determination of the Conductivity of Solutions. (B) The Behavior of Mixtures of Two Salts Containing a Common Ion, in Anhydrous Formic Acid Solutions.",,,,,,,,,,,
1917,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,JAMES KUHN SENIOR,"Research Associate, University of Chicago, Chicago, Ill.",Molecular Rearrangements in the Triarylmethylazide and Triarylmethylhydrazine Series.,,,,,,,,,,,
1917,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HERBERT JOHNSON SMITH,"Research Chemist, Ralston Purina Mills, St. Louis, Mo.",Solubility Products of Carbonates.,,,,,,,,,,,
1917,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,RALPH KEMPTON STRONG,"Professor and Head of the Department of Chemistry, Reed College, Portland, Ore.",Mesothorium-One and Radium; Their Isotopism and Enrichment.,,,,,,,,,,,
1917,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WILLIAM DE GARMO TURNER,"Assistant Professor of Chemical Engineering, Columbia University, New York, N.Y.",The Diffusion of Gases and the Density of Chlorine. A Search for Possible Isotypes of Chlorine.,,,,,,,,,,,
1918,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,DENTON JACOBS BROWN,"Associate Professor of Chemistry, University of Nebraska, Lincoln, Neb.",The Velocity of Decomposition of Benzoyl Peroxide.,,,,,,,,,,,
1918,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,FRANK EMERSON BROWN,"Professor of Chemistry, Iowa State College, Ames, Ia.",1. The Structure of the Surfaces of Liquids and Solubility as Related to the Work Done by the Attraction of Two Liquid Surfaces on Each Other. 2. A Standardization of the Method for the Determination of Surface Tension or Free Surface Energy by the Drop-Weight Method. 3. A Simple Apparatus for the Determination of Surface Tension.,,,,,,,,,,,
1918,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ELMER NEWMAN BUNTING,"Research Chemist, Bureau of Standards, Washington, D.C.","Transport Numbers of Potassium, Sodium, and Calcium Formates in Anhydrous Formic Acid.",,,,,,,,,,,
1918,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,GEORGE LINDENBERG CLARK,"Associate Professor of Chemistry, University of Illinois, Urbana, Ill.",1. The Structure of the Surfaces of Liquids. 2. Secondary Valence and Werner's Coördination Number.,,,,,,,,,,,
1918,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WILBY T. GOOCH,"Professor and Head of the Department of Chemistry, Baylor University, Waco, Tex.",1. Effect of Light on the Velocity of Saponification of Ethyl Acetate. 2. The Velocity Coefficient of the Saponification of Methyl Acetate.,,,,,,,,,,,
1918,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HOMER HENRY HELMICK,"Professor of Chemistry, Elmhurst College, Elmhurst, Ill.",A New Method for the Determination of Thorium in Monazite Sand.,,,,,,,,,,,
1918,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HERBERT HIRAM KING,"Professor and Head of the Department of Chemistry, Kansas State Agricultural College, Manhattan, Kan.","1. The Structure of Liquids: Adsorption at Liquid-Liquid Interfaces and the Partition of a Solute between Two Liquids. 2. The Structure of Liquids: Adsorption, Solubility and the Double Electric Layer.",,,,,,,,,,,
1918,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,RAYMOND DAVID MULLINIX,"Professor of Chemistry, Rockford College, Rockford, Ill.",Potassium Permanganate. Studies in Conductivity IV.,,,,,,,,,,,
1918,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,RALPH EMORY NELSON,"Associate Professor of Organic Chemistry, Purdue University, Lafayette, Ind.",The Coefficient of the Velocity of the Reaction between Sodium Hydroxide and Ethyl Acetate.,,,,,,,,,,,
1918,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,STEPHEN POPOFF,"Associate Professor of Chemistry, Iowa State University, Iowa City, Ia.","Studies of Manganates and Permanganates. I. The Course of the Action between Manganese Dioxide, Potassium Hydroxide and Oxygen, and the Manufacture of Potassium Permanganate.",,,,,,,,,,,
1918,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,EDWARD NOEL ROBERTS,"Research Chemist, Standard Oil Company of Indiana, Caspar, Wyo.",Velocity of Saponification of Ethyl Formate.,,,,,,,,,,,
1918,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HARRY CLYDE TRIMBLE,"Assistant Professor of Biological Chemistry, Harvard University, Cambridge, Mass.",The Effect of Electric Currents in Attempts to Induce Molecular Rearrangements.,,,,,,,,,,,
1919,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,RAY QUINCY BREWSTER,"Associate Professor of Chemistry, University of Kansas, Lawrence, Kan.",I. Symmetrical Tetrapropylethane. II. Reduction of Nitrotriphenylamine.,,,,,,,,,,,
1919,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ELVAH HORLEY GRAFTON,"Technical Superintendent, Murray Rubber Company, Trenton, N.J.",The Adsorption of Benzene Derivatives on the Surface of Water. The Work Done by the Attraction between a Mercury Surface and the Surface of an Organic Liquid.,,,,,,,,,,,
1919,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,MORRIS Selig Kharasch,"Professor of Organic Chemistry, University of Chicago, Chicago, Ill.",Colors of the Second Order. Mercuri-Organic Derivatives.,,,,,,,,,,,
1919,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,GEORGE ELMER MILLER,"Clinical Associate in Medicine, Rush Medical College, Chicago, Ill.",Preparation of Pure Cyanogen Chloride; Preparation and Study of dand 1-Beta-Gamma-Dioxybutyric Acid.,,,,,,,,,,,
1919,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,CHARLES H. MILLIGAN,"Research Chemist, American Agricultural Chemical Company, Newark, N.J.",The Preparation of dl-P-Methyl-Isopropyl Methyl-Phenyl Hydrazine. The Isolation of Pure d-P-Methyl-Isopropyl Methyl-Phenyl Aniline.,,,,,,,,,,,
1919,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,LATHROP EMERSON ROBERTS,"Professor of Chemistry, University of Arizona, Tucson, Ariz.",A Study of Phase Boundaries.,,,,,,,,,,,
1919,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HENRY JOHN ROSSBACHER,"Development Engineer, Western Electric Company, Chicago, Ill.",M-Tolyl-Ethyl-Barbituric Acid.,,,,,,,,,,,
1919,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,KARL THEODOR STEIK,"Research Chemist, Standard Oil Company of New Jersey, Elizabeth, N.J.",The Effect of Alkali upon Portland Cement.,,,,,,,,,,,
1920,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,STEWARD BASTERFIELD,"Professor of Organic Chemistry, University of Saskatchewan, Saskatoon, Sask., Canada.",Derivatives of Isourea and Their Pharmacological Action.,,,,,,,,,,,
1920,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,YING CHANG CHENG,"Director Chung Hua Research Laboratory and Manager Vitamine Products Co., Shanghai, China.","Cohesion, Adhesion, Tensile Strength, Tensile Energy, Negative Surface Energy, Interfacial Tension, and Molecular Attraction.",,,,,,,,,,,
1920,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,AMANDO CLEMENTE,"Dean of the Junior College, University of the Philippines, Cebu, P.I.",The Relation between Pore Size and Adsorption in Charcoal.,,,,,,,,,,,
1920,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,FRANK LOUIS DEBEUKELAER,"Research Chemist, Swift and Company, Chicago, Ill.",Derivatives of Phenylethylacetic Acid and of Phenyldiethylacetic Acid.,,,,,,,,,,,
1920,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,DWIGHT TARBELL EWING,"Professor of Chemistry, Michigan State Agricultural College, East Lansing, Mich.","I. The Densities and Adsorption and Desorption Properties of Gas Mask Charcoals. II. The Effects of Acids and Bases on the Surface Energy of B-B-Dichlorethyl Sulphide (""Mustard Gas"").",,,,,,,,,,,
1920,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,Warren Walter EWING,"Associate Professor of Physical Chemistry, Lehigh University, Bethlehem, Pa.",The Attraction of Mercury for Other Liquids.,,,,,,,,,,,
1920,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,LOUIS MELVIN LARSEN,"Research Chemist, International Inks, Inc., 432 West Forty-fifth Street, New York, NY.",I. Nitrotriphenylamines. II. The Oxidation of Diaminophenolos.,,,,,,,,,,,
1920,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,MARY MEDA RISING,"Associate Professor of Chemistry, University of Chicago, Chicago, Ill.","I. The Preparation of Phenylethylbarbituric Acid. II. The Preparation of Para-Ureido-Phenylacetylurea, and Related Compounds. `III. An Attempt to Filter the Enzymes of Milk.",,,,,,,,,,,
1920,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,JOHN EDWARD SCHOTT,"Research Chemist, Box 162, Wellsville, Ohio.",I. Oxidation of Benzamide. II. Derivatives of Phenylethylbarbituric Acid.,,,,,,,,,,,
1920,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HERMAN VANCE TARTAR,"Professor of Physical Chemistry, University of Washington, Seattle, Wash.",The Constitution of Murexide and the Theory of Dyes.,,,,,,,,,,,
