Year,Division,Department,Name,Post,Diss_Title,,,,,,,,,,,
1904,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,GEORGE HARRISON SHULL,"Professor of Botany and Genetics, Princeton University, Princeton, N.J.","A Second Contribution to the Establishment of Place-Constants for Aster prenanthoides Muhl. at Clifton, Ohio.",,,,,,,,,,,
1904,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,LAETITIA MORRIS SNOW,"Associate Professor of Botany, Wellesley College, Wellesley, Mass.",The Effects of External Agents on the Production of Root Hairs.,,,,,,,,,,,
1904,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ROBERT BRADFORD WYLIE,"Professor and Head of the Department of Botany, University of Iowa, Iowa City, Iowa.",The Morphology of Elodea canadensis.,,,,,,,,,,,
1905,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HEINRICH HASSELBRING,"Plant Physiologist, Bureau of Plant Industry, Washington, D.C.",Certain Problems of Assimilation.,,,,,,,,,,,
1905,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ETOILE BESSIE SIMONS,"2721 East Seventy-fifth Place, Chicago, Ill.",A Morphological Study of Sargassum filipendula.,,,,,,,,,,,
1906,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,WILLIAM CROCKER,"Director, Boyce Thompson Institute for Plant Research, Yonkers, N.Y.",The Role of Seed Coats in Delayed Germination.,,,,,,,,,,,
1906,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HEMMING GERHARD JENSEN,"R. 1, Bellevue, Wash.",Toxic Limits and Stimulation Effects of Some Salts and Poisons on Wheat.,,,,,,,,,,,
1906,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,FRANCES GRACE SMITH,"Professor of Botany, Smith College, Northampton, Mass.",Morphology of the Trunk and Development of the Microsporangium of Cycads.,,,,,,,,,,,
1907,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,LULA PACE,"(Died June 16, 1925.)",Fertilization in Cypripedium. ,,,,,,,,,,,
1907,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,REINHARDT THIESSEN,"Research Chemist and Microscopist, U.S. Bureau of Mines, Pittsburgh, Pa.",The Vascular Anatomy of the Seedling of Dioon. ,,,,,,,,,,,
1907,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,SHIGEO YAMANOUCHI,"Research Associate, Department of Botany, University of Chicago, Chicago, Ill.",A Study of Apogamy,,,,,,,,,,,
1908,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,LEONAS LANCELOT BURLINGAME,"Professor of Biology, Stanford. University, Stanford University P.O., Calif.",Staminate Cone of Podocarpus.,,,,,,,,,,,
1908,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,REGINALD RUGGLES GATES,"Professor and Head of the Department of Botany, King's College, University of London. London, England.",A Study of Reduction in Oenothera rubrinervis.,,,,,,,,,,,
1908,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,LEROY HARRIS HARVEY,(Died 1922.),The Prairie Grass Formation of Southeastern South Dakota,,,,,,,,,,,
1908,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,WANDA MAY PFEIFFER,"(Mrs. Arthur G. Vestal), C/O Dept. of Botany, University of Illinois, Urbana, Ill.",The Morphology of Leitneria floridana.,,,,,,,,,,,
1908,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,CHARLES HOUSTON SHATTUCK,"Manager, Eastern Idaho Loan and Trust Com- pany, Idaho Falls, Idaho.",Origin of Heterospory in Marsilia.,,,,,,,,,,,
1908,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ALMA GRACEY STOKEY,"Professor of Botany, Mount Holyoke College, South Hadley, Mass.",The Anatomy of Isoetes.,,,,,,,,,,,
1909,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,SISTER HELEN ANGELA DORETY,"Professor of Botany, St. Elizabeth College, Convent Station, N.J. ",Anatomy of the Seedling of Ceratozamia.,,,,,,,,,,,
1909,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,NIELSINE JOHANNA KILDAHL,"Maza, N.D. ",The Morphology of Phyllocladus.,,,,,,,,,,,
1909,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,EDITH MINOT TWISS,(Died 1925.) ,Prothallia of Aneimia and Lygodium.,,,,,,,,,,,
1910,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,CHARLES ORVAL APPLEMAN,"Professor of Plant Physiology and Dean of the Graduate School, University of Maryland, College Park, Md.",Some Observations on Catalase.,,,,,,,,,,,
1910,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,GRACE MIRIAM CHARLES,"Teacher of Botany, Austin High School, Chicago, Ill. ",The Anatomy of the Sporeling of Marattia alata. ,,,,,,,,,,,
1910,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,MARY SOPHIE YOUNG,"(Died March 5, 1919.)",Morphology of the Podocarpineae,,,,,,,,,,,
1911,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,GRACE LUCRETIA CLAPP,"Professor of Botany, Milwaukee Downer College, Milwaukee, Wis.",The Life History of Aneura pinguis.,,,,,,,,,,,
